Time,Ax,Ay,Az,Gx,Gy,Gz
12:01:20:681,-0.56143945,-0.11862892,9.88027323,0.43000000,-0.12000000,0.11000000
12:01:20:697,-0.55174842,-0.12888408,9.91059791,0.34000000,-0.22000000,0.23000000
12:01:20:717,-0.50157486,-0.13884285,9.91164453,0.37000000,-0.26000000,0.33000000
12:01:20:737,-0.53129099,-0.10865362,9.88095711,0.43000000,-0.19000000,0.17000000
12:01:20:757,-0.57146580,-0.14844779,9.86993754,0.38000000,-0.22000000,0.12000000
12:01:20:777,-0.55158101,-0.10884587,9.90058797,0.37000000,-0.23000000,0.30000000
12:01:20:797,-0.52122032,-0.09867833,9.88117732,0.49000000,-0.20000000,0.25000000
12:01:20:817,-0.54148421,-0.15851483,9.88063209,0.42000000,-0.16000000,0.27000000
12:01:20:837,-0.55151909,-0.08890182,9.90059514,0.39000000,-0.14000000,0.15000000
12:01:20:857,-0.54125585,-0.11853323,9.87068985,0.54000000,-0.07000000,0.19000000
12:01:20:877,-0.52117555,-0.11852862,9.87112366,0.47000000,-0.12000000,0.08000000
12:01:20:897,-0.54146700,-0.11872217,9.89076374,0.28000000,-0.20000000,0.20000000
12:01:20:917,-0.56181847,-0.13885580,9.91034814,0.41000000,-0.22000000,0.21000000
12:01:20:937,-0.56139604,-0.13847756,9.87019842,0.54000000,-0.13000000,0.18000000
12:01:20:957,-0.55153724,-0.12869506,9.89052357,0.41000000,-0.20000000,0.12000000
12:01:20:977,-0.55132606,-0.12850603,9.87044919,0.46000000,-0.14000000,0.04000000
12:01:20:997,-0.54146700,-0.11872217,9.89076374,0.50000000,-0.20000000,0.18000000
12:01:21:018,-0.54125585,-0.11853323,9.87068985,0.40000000,-0.17000000,0.37000000
12:01:21:038,-0.58172643,-0.11881582,9.89987522,0.32000000,-0.12000000,0.06000000
12:01:21:057,-0.54095649,-0.15804233,9.83044675,0.51000000,-0.27000000,0.34000000
12:01:21:077,-0.55215281,-0.08946870,9.96081777,0.35000000,-0.19000000,-0.04000000
12:01:21:097,-0.54125585,-0.11853323,9.87068985,0.60000000,-0.25000000,0.09000000
12:01:21:117,-0.55138784,-0.14844931,9.87040175,0.44000000,-0.20000000,0.12000000
