Time,Ax,Ay,Az,Gx,Gy,Gz
12:01:20:681,-3.059842,0.159011,0.717423,0.430000,-0.120000,0.110000
12:01:20:697,-2.645884,0.782526,1.539156,0.340000,-0.220000,0.230000
12:01:20:717,-2.389483,0.919376,1.851740,0.370000,-0.260000,0.330000
12:01:20:737,-2.942739,0.389725,1.048262,0.430000,-0.190000,0.170000
12:01:20:757,-3.014138,0.396403,0.801584,0.380000,-0.220000,0.120000
12:01:20:777,-2.483044,0.817879,1.768656,0.370000,-0.230000,0.300000
12:01:20:797,-2.822829,0.442489,1.323551,0.490000,-0.200000,0.250000
12:01:20:817,-2.678707,0.466030,1.590501,0.420000,-0.160000,0.270000
12:01:20:837,-2.959129,0.318525,1.046100,0.390000,-0.140000,0.150000
12:01:20:857,-2.980682,0.087896,0.998358,0.540000,-0.070000,0.190000
12:01:20:877,-3.103960,0.079543,0.483222,0.470000,-0.120000,0.080000
12:01:20:897,-2.593935,0.867757,1.567675,0.280000,-0.200000,0.200000
12:01:20:917,-2.835647,0.565561,1.272181,0.410000,-0.220000,0.210000
12:01:20:937,-2.998736,0.175657,0.929914,0.540000,-0.130000,0.180000
12:01:20:957,-3.036604,0.319625,0.776011,0.410000,-0.200000,0.120000
12:01:20:977,-3.132767,0.028323,0.227704,0.460000,-0.140000,0.040000
12:01:20:997,-2.979751,0.325549,0.972230,0.500000,-0.200000,0.180000
12:01:21:018,-2.344239,0.593518,2.013621,0.400000,-0.170000,0.370000
12:01:21:038,-3.107303,0.153338,0.509833,0.320000,-0.120000,0.060000
12:01:21:057,-2.637041,0.642449,1.565061,0.510000,-0.270000,0.340000
12:01:21:077,-3.142493,-0.222157,-0.334212,0.350000,-0.190000,-0.040000
12:01:21:097,-3.113160,0.124122,0.406167,0.600000,-0.250000,0.090000
12:01:21:117,-3.045753,0.273118,0.729055,0.440000,-0.200000,0.120000
12:01:21:137,-1.829716,1.830636,1.830817,0.200000,-0.210000,0.210000
12:01:21:157,-2.898000,0.366944,1.184089,0.520000,-0.200000,0.230000
12:01:21:178,-2.461522,0.814271,1.776771,0.450000,-0.280000,0.370000
12:01:21:198,-2.723021,0.382928,1.570041,0.260000,-0.080000,0.160000
12:01:21:218,-3.061462,0.301203,0.723634,0.480000,-0.240000,0.130000
12:01:21:238,-2.489955,0.966952,1.636228,0.280000,-0.220000,0.220000
12:01:21:258,-2.609460,0.689107,1.662360,0.280000,-0.150000,0.200000
12:01:21:278,-2.864969,0.318085,1.292011,0.460000,-0.140000,0.220000
12:01:21:298,-3.048888,0.262066,0.673879,0.470000,-0.220000,0.120000
12:01:21:318,-2.822709,0.429015,1.337194,0.250000,-0.100000,0.130000
12:01:21:338,-3.152973,-0.027471,0.052611,0.360000,-0.080000,0.010000
12:01:21:358,-2.515352,0.865923,1.654596,0.390000,-0.270000,0.300000
12:01:21:378,-2.862026,0.339920,1.251867,0.360000,-0.120000,0.170000
12:01:21:398,-2.578419,0.812000,1.629073,0.370000,-0.240000,0.270000
12:01:21:418,-2.829492,0.380009,1.297400,0.500000,-0.180000,0.250000
12:01:21:438,-2.871347,0.107310,1.305209,0.420000,-0.050000,0.200000
12:01:21:458,-2.440752,1.030053,1.727905,0.280000,-0.230000,0.240000
12:01:21:478,-2.759153,0.496134,1.413106,0.460000,-0.200000,0.260000
12:01:21:498,-2.941381,0.355595,1.074369,0.400000,-0.160000,0.160000
12:01:21:518,-2.985836,0.332523,0.961263,0.340000,-0.140000,0.120000
12:01:21:538,-3.089939,0.234829,0.543996,0.430000,-0.230000,0.090000
12:01:21:558,-2.566592,0.765377,1.644349,0.330000,-0.200000,0.240000
12:01:21:578,-2.618446,0.740760,1.612432,0.270000,-0.160000,0.190000
12:01:21:598,-2.939634,0.288831,1.079596,0.430000,-0.140000,0.170000
12:01:21:618,-3.062915,0.291868,0.658763,0.360000,-0.190000,0.090000
12:01:21:638,-2.766081,0.346995,1.479821,0.370000,-0.110000,0.210000
12:01:21:658,-2.581116,0.662334,1.698209,0.370000,-0.190000,0.270000
12:01:21:678,-2.820800,0.568816,1.270445,0.370000,-0.200000,0.190000
12:01:21:698,-2.898520,0.379805,1.178660,0.360000,-0.140000,0.160000
12:01:21:718,-2.711853,0.555806,1.523370,0.370000,-0.170000,0.230000
12:01:21:738,-2.889777,0.269936,1.221199,0.400000,-0.110000,0.180000
12:01:21:758,-2.497262,0.866361,1.742860,0.300000,-0.200000,0.240000
12:01:21:778,-2.577208,0.904717,1.560661,0.360000,-0.270000,0.260000
12:01:21:798,-3.073893,0.230549,0.595735,0.360000,-0.170000,0.080000
12:01:21:818,-3.100858,0.226835,0.522241,0.300000,-0.160000,0.060000
12:01:21:838,-3.141260,0.058073,0.193066,0.380000,-0.210000,0.030000
12:01:21:858,-3.062106,0.323511,0.647051,0.440000,-0.260000,0.110000
12:01:21:878,-3.125796,-0.285559,-0.249985,0.390000,-0.350000,-0.040000
12:01:21:898,-2.543898,-0.982759,-1.540528,0.640000,-0.470000,-0.450000
12:01:21:918,-1.895273,2.134932,-1.312566,0.440000,-0.500000,-0.290000
12:01:21:938,-2.670321,-0.944228,-1.385569,0.480000,-0.360000,-0.290000
12:01:21:958,-2.186095,2.274469,0.139893,0.440000,-0.470000,0.040000
12:01:21:978,-2.997173,-0.448185,-0.818003,0.440000,-0.220000,-0.130000
12:01:21:998,-2.729730,-0.876361,-1.312424,0.320000,-0.230000,-0.180000
12:01:22:018,-3.124154,0.149215,0.329387,0.460000,-0.280000,0.060000
12:01:22:038,-3.034189,0.431273,0.743557,0.400000,-0.270000,0.120000
12:01:22:058,-2.491286,0.670892,1.818844,0.360000,-0.180000,0.290000
12:01:22:078,-2.557839,0.520308,1.787088,0.360000,-0.140000,0.270000
12:01:22:098,-3.058618,0.200144,0.755368,0.450000,-0.150000,0.120000
12:01:22:118,-1.778387,0.889061,2.454944,0.320000,-0.220000,0.490000
12:01:22:138,-3.100203,0.234816,0.522184,0.400000,-0.220000,0.080000
12:01:22:158,-3.104503,0.189552,0.534363,0.360000,-0.160000,0.070000
12:01:22:178,-2.484298,1.045627,1.660750,0.330000,-0.280000,0.270000
12:01:22:198,-2.361211,0.458483,2.060282,0.400000,-0.130000,0.370000
12:01:22:218,-2.683470,0.360874,1.629191,0.450000,-0.130000,0.290000
12:01:22:238,-2.351471,0.735080,1.979187,0.300000,-0.160000,0.280000
12:01:22:258,-2.944482,0.321067,1.056758,0.410000,-0.150000,0.160000
12:01:22:278,-2.758116,0.496134,1.473280,0.310000,-0.130000,0.180000
