Time,Ax,Ay,Az,Gx,Gy,Gz
12:01:20:681,-0.006800,0.011700,9.796300,0.046700,0.072800,-0.055100
12:01:20:697,-0.006800,0.001700,9.826300,-0.043300,-0.027200,0.064900
12:01:20:717,0.013200,-0.028300,9.826300,-0.013300,-0.067200,0.164900
12:01:20:737,0.013200,0.001700,9.796300,0.046700,0.002800,0.004900
12:01:20:757,-0.026800,0.001700,9.786300,-0.003300,-0.027200,-0.045100
12:01:20:777,0.003200,0.011700,9.816299,-0.013300,-0.037200,0.134900
12:01:20:797,0.023200,0.001700,9.796300,0.106700,-0.007200,0.084900
12:01:20:817,-0.016800,-0.018300,9.796300,0.036700,0.032800,0.104900
12:01:20:837,0.013200,0.021700,9.816299,0.006700,0.052800,-0.015100
12:01:20:857,0.003200,0.001700,9.786300,0.156700,0.122800,0.024900
12:01:20:877,0.013200,-0.008300,9.786300,0.086700,0.072800,-0.085100
12:01:20:897,0.003200,0.001700,9.806300,-0.103300,-0.007200,0.034900
12:01:20:917,-0.016800,0.001700,9.826300,0.026700,-0.027200,0.044900
12:01:20:937,-0.016800,0.001700,9.786300,0.156700,0.062800,0.014900
12:01:20:957,-0.006800,0.001700,9.806300,0.026700,-0.007200,-0.045100
12:01:20:977,-0.006800,0.001700,9.786300,0.076700,0.052800,-0.125100
12:01:20:997,0.003200,0.001700,9.806300,0.116700,-0.007200,0.014900
12:01:21:018,0.003200,0.001700,9.786300,0.016700,0.022800,0.204900
12:01:21:038,-0.016800,0.021700,9.816299,-0.063300,0.072800,-0.105100
12:01:21:057,-0.016800,-0.018300,9.746300,0.126700,-0.077200,0.174900
12:01:21:077,0.013200,0.021700,9.876300,-0.033300,0.002800,-0.205100
12:01:21:097,0.003200,0.001700,9.786300,0.216700,-0.057200,-0.075100
12:01:21:117,-0.016800,-0.008300,9.786300,0.056700,-0.007200,-0.045100
12:01:21:137,-0.016800,0.001700,9.866300,-0.183300,-0.017200,0.044900
12:01:21:157,0.023200,-0.028300,9.806300,0.136700,-0.007200,0.064900
12:01:21:178,-0.006800,0.001700,9.776299,0.066700,-0.087200,0.204900
12:01:21:198,-0.006800,0.021700,9.846300,-0.123300,0.112800,-0.005100
12:01:21:218,0.003200,-0.008300,9.836300,0.096700,-0.047200,-0.035100
12:01:21:238,0.023200,0.001700,9.746300,-0.103300,-0.027200,0.054900
12:01:21:258,-0.006800,0.011700,9.856299,-0.103300,0.042800,0.034900
12:01:21:278,0.033200,0.001700,9.826300,0.076700,0.052800,0.054900
12:01:21:298,-0.026800,0.001700,9.756300,0.086700,-0.027200,-0.045100
12:01:21:318,-0.026800,-0.018300,9.806300,-0.133300,0.092800,-0.035100
12:01:21:338,0.003200,0.001700,9.826300,-0.023300,0.112800,-0.155100
12:01:21:358,-0.006800,0.001700,9.746300,0.006700,-0.077200,0.134900
12:01:21:378,-0.006800,0.001700,9.776299,-0.023300,0.072800,0.004900
12:01:21:398,0.003200,0.001700,9.816299,-0.013300,-0.047200,0.104900
12:01:21:418,-0.026800,0.001700,9.756300,0.116700,0.012800,0.084900
12:01:21:438,-0.016800,0.001700,9.816299,0.036700,0.142800,0.034900
12:01:21:458,-0.026800,-0.008300,9.836300,-0.103300,-0.037200,0.074900
12:01:21:478,-0.016800,0.001700,9.766300,0.076700,-0.007200,0.094900
12:01:21:498,0.013200,-0.008300,9.806300,0.016700,0.032800,-0.005100
12:01:21:518,0.033200,0.001700,9.816299,-0.043300,0.052800,-0.045100
12:01:21:538,-0.026800,-0.008300,9.796300,0.046700,-0.037200,-0.075100
12:01:21:558,0.023200,0.001700,9.776299,-0.053300,-0.007200,0.074900
12:01:21:578,-0.016800,0.001700,9.836300,-0.113300,0.032800,0.024900
12:01:21:598,0.013200,0.001700,9.786300,0.046700,0.052800,0.004900
12:01:21:618,0.003200,0.001700,9.796300,-0.023300,0.002800,-0.075100
12:01:21:638,0.013200,0.001700,9.816299,-0.013300,0.082800,0.044900
12:01:21:658,0.003200,-0.008300,9.826300,-0.013300,0.002800,0.104900
12:01:21:678,-0.006800,0.001700,9.786300,-0.013300,-0.007200,0.024900
12:01:21:698,0.003200,0.001700,9.806300,-0.023300,0.052800,-0.005100
12:01:21:718,-0.016800,0.001700,9.826300,-0.013300,0.022800,0.064900
12:01:21:738,0.003200,0.001700,9.796300,0.016700,0.082800,0.014900
12:01:21:758,0.033200,0.001700,9.846300,-0.083300,-0.007200,0.074900
12:01:21:778,0.013200,0.001700,9.786300,-0.023300,-0.077200,0.094900
12:01:21:798,0.003200,0.001700,9.776299,-0.023300,0.022800,-0.085100
12:01:21:818,-0.016800,0.001700,9.816299,-0.083300,0.032800,-0.105100
12:01:21:838,-0.016800,0.001700,9.806300,-0.003300,-0.017200,-0.135100
12:01:21:858,0.013200,0.001700,9.796300,0.056700,-0.067200,-0.055100
12:01:21:878,-0.026800,0.001700,9.816299,0.006700,-0.157200,-0.205100
12:01:21:898,0.053200,-0.008300,9.786300,0.256700,-0.277200,-0.615100
12:01:21:918,0.003200,0.001700,9.816299,0.056700,-0.307200,-0.455100
12:01:21:938,-0.016800,0.001700,9.846300,0.096700,-0.167200,-0.455100
12:01:21:958,-0.016800,0.001700,9.846300,0.056700,-0.277200,-0.125100
12:01:21:978,0.003200,-0.018300,9.796300,0.056700,-0.027200,-0.295100
12:01:21:998,0.033200,0.001700,9.846300,-0.063300,-0.037200,-0.345100
12:01:22:018,-0.006800,0.001700,9.796300,0.076700,-0.087200,-0.105100
12:01:22:038,-0.006800,0.001700,9.816299,0.016700,-0.077200,-0.045100
12:01:22:058,-0.006800,0.001700,9.816299,-0.023300,0.012800,0.124900
12:01:22:078,0.013200,0.001700,9.836300,-0.023300,0.052800,0.104900
12:01:22:098,0.033200,-0.008300,9.826300,0.066700,0.042800,-0.045100
12:01:22:118,-0.016800,0.001700,9.826300,-0.063300,-0.027200,0.324900
