Time,Ax,Ay,Az,Gx,Gy,Gz
17:24:15:2686,-0.58,1.39,-9.44,-0.20,-0.06,-0.40
17:24:15:2886,-0.57,1.39,-9.44,-0.18,-0.19,-0.34
17:24:15:3086,-0.58,1.40,-9.48,-0.26,-0.22,-0.32
17:24:15:3286,-0.61,1.40,-9.42,-0.31,-0.08,-0.42
17:24:15:3486,-0.60,1.41,-9.42,-0.07,-0.15,-0.36
17:24:15:3686,-0.61,1.38,-9.42,-0.25,-0.11,-0.36
17:24:15:3886,-0.58,1.39,-9.45,-0.16,0.02,-0.35
17:24:15:4086,-0.60,1.39,-9.46,-0.20,0.01,-0.30
17:24:15:4286,-0.59,1.40,-9.40,-0.31,-0.08,-0.33
17:24:15:4486,-0.59,1.40,-9.44,-0.20,-0.03,-0.32
17:24:15:4686,-0.59,1.39,-9.45,-0.21,-0.12,-0.39
17:24:15:4886,-0.61,1.38,-9.44,-0.18,-0.04,-0.41
17:24:15:5086,-0.60,1.39,-9.44,-0.19,-0.02,-0.31
17:24:15:5286,-0.61,1.40,-9.43,-0.16,-0.20,-0.37
17:24:15:5486,-0.60,1.40,-9.39,-0.15,-0.19,-0.36
17:24:15:5686,-0.59,1.38,-9.44,-0.23,-0.09,-0.32
17:24:15:5886,-0.58,1.40,-9.39,-0.35,-0.21,-0.34
17:24:15:6086,-0.61,1.37,-9.42,-0.10,0.00,-0.34
17:24:15:6286,-0.59,1.38,-9.41,-0.31,-0.28,-0.28
17:24:15:6486,-0.61,1.41,-9.44,-0.14,0.04,-0.35
17:24:15:6686,-0.60,1.39,-9.43,-0.24,-0.11,-0.32
17:24:15:6886,-0.59,1.40,-9.45,-0.31,-0.14,-0.40
17:24:15:7086,-0.59,1.42,-9.49,-0.30,-0.26,-0.31
17:24:15:7286,-0.60,1.42,-9.39,-0.30,-0.27,-0.29
17:24:15:7486,-0.58,1.38,-9.45,-0.21,-0.09,-0.41
17:24:15:7686,-0.59,1.40,-9.43,-0.30,-0.29,-0.36
17:24:15:7886,-0.60,1.39,-9.46,-0.13,0.04,-0.29
17:24:15:8086,-0.60,1.39,-9.41,-0.18,-0.34,-0.34
17:24:15:8286,-0.60,1.37,-9.48,-0.01,0.00,-0.29
17:24:15:8486,-0.60,1.39,-9.43,-0.36,-0.28,-0.34
17:24:15:8686,-0.58,1.43,-9.45,-0.29,0.02,-0.28
17:24:15:8886,-0.60,1.39,-9.47,-0.25,-0.32,-0.38
17:24:15:9086,-0.60,1.38,-9.43,-0.30,-0.31,-0.31
17:24:15:9286,-0.59,1.42,-9.44,-0.17,0.06,-0.41
17:24:15:9486,-0.59,1.39,-9.43,-0.42,-0.19,-0.31
17:24:15:9686,-0.59,1.41,-9.46,-0.20,0.05,-0.37
17:24:15:9886,-0.59,1.40,-9.41,-0.32,-0.20,-0.36
17:24:16:0086,-0.57,1.41,-9.48,-0.15,-0.04,-0.32
17:24:16:0287,-0.59,1.41,-9.39,-0.31,-0.25,-0.44
17:24:16:0486,-0.60,1.40,-9.42,-0.11,-0.04,-0.35
17:24:16:0686,-0.60,1.40,-9.46,-0.11,-0.04,-0.36
17:24:16:0886,-0.58,1.40,-9.40,-0.37,-0.18,-0.33
17:24:16:1086,-0.60,1.41,-9.46,-0.14,-0.06,-0.32
17:24:16:1286,-0.58,1.40,-9.44,-0.16,-0.19,-0.34
