Time,Ax,Ay,Az,Gx,Gy,Gz
12:01:20:681,-0.000000,0.000000,0.000021,0.000000,0.000000,-0.000000
12:01:20:697,-0.000000,0.000000,0.000187,0.000001,0.000001,-0.000001
12:01:20:717,-0.000001,0.000001,0.000830,0.000002,0.000004,-0.000002
12:01:20:737,-0.000001,0.000002,0.002535,0.000005,0.000010,-0.000003
12:01:20:757,-0.000003,0.000003,0.006104,0.000009,0.000017,0.000002
12:01:20:777,-0.000004,0.000003,0.012503,0.000015,0.000026,0.000016
12:01:20:797,-0.000006,0.000004,0.022808,0.000024,0.000032,0.000045
12:01:20:817,-0.000008,0.000003,0.038167,0.000036,0.000035,0.000094
12:01:20:837,-0.000011,0.000002,0.059759,0.000056,0.000033,0.000171
12:01:20:857,-0.000014,0.000001,0.088754,0.000085,0.000024,0.000284
12:01:20:877,-0.000016,-0.000002,0.126295,0.000131,0.000011,0.000441
12:01:20:897,-0.000017,-0.000004,0.173458,0.000199,-0.000002,0.000644
12:01:20:917,-0.000018,-0.000007,0.231245,0.000296,-0.000010,0.000897
12:01:20:937,-0.000016,-0.000009,0.300553,0.000427,-0.000006,0.001199
12:01:20:957,-0.000012,-0.000012,0.382173,0.000597,0.000013,0.001551
12:01:20:977,-0.000007,-0.000014,0.476768,0.000810,0.000051,0.001952
12:01:20:997,-0.000000,-0.000016,0.584873,0.001074,0.000113,0.002397
12:01:21:018,0.000006,-0.000017,0.706884,0.001394,0.000201,0.002880
12:01:21:038,0.000011,-0.000017,0.843060,0.001777,0.000318,0.003397
12:01:21:057,0.000015,-0.000015,0.993523,0.002226,0.000467,0.003941
12:01:21:077,0.000017,-0.000012,1.158253,0.002744,0.000650,0.004512
12:01:21:097,0.000016,-0.000007,1.337102,0.003334,0.000866,0.005104
12:01:21:117,0.000011,0.000002,1.529791,0.003996,0.001115,0.005711
12:01:21:137,0.000002,0.000014,1.735920,0.004733,0.001392,0.006325
12:01:21:157,-0.000012,0.000029,1.954975,0.005545,0.001694,0.006934
12:01:21:178,-0.000032,0.000048,2.186338,0.006431,0.002015,0.007533
12:01:21:198,-0.000058,0.000070,2.429294,0.007387,0.002350,0.008115
12:01:21:218,-0.000090,0.000094,2.683039,0.008408,0.002693,0.008681
12:01:21:238,-0.000128,0.000120,2.946694,0.009489,0.003038,0.009231
12:01:21:258,-0.000171,0.000148,3.219313,0.010619,0.003382,0.009765
12:01:21:278,-0.000219,0.000177,3.499894,0.011788,0.003719,0.010283
12:01:21:298,-0.000271,0.000208,3.787390,0.012984,0.004046,0.010787
12:01:21:318,-0.000325,0.000240,4.080718,0.014193,0.004362,0.011277
12:01:21:338,-0.000382,0.000274,4.378767,0.015405,0.004664,0.011752
12:01:21:358,-0.000439,0.000308,4.680414,0.016605,0.004956,0.012211
12:01:21:378,-0.000498,0.000343,4.984528,0.017782,0.005238,0.012648
12:01:21:398,-0.000559,0.000378,5.289980,0.018921,0.005513,0.013060
