Time,Ax,Ay,Az,Gx,Gy,Gz
12:01:20:681,-0.170000,0.010000,9.590000,0.430000,-0.120000,0.110000
12:01:20:697,-0.170000,-0.000000,9.620000,0.340000,-0.220000,0.230000
12:01:20:717,-0.150000,-0.030000,9.620000,0.370000,-0.260000,0.330000
12:01:20:737,-0.150000,-0.000000,9.590000,0.430000,-0.190000,0.170000
12:01:20:757,-0.190000,-0.000000,9.580000,0.380000,-0.220000,0.120000
12:01:20:777,-0.160000,0.010000,9.610000,0.370000,-0.230000,0.300000
12:01:20:797,-0.140000,-0.000000,9.590000,0.490000,-0.200000,0.250000
12:01:20:817,-0.180000,-0.020000,9.590000,0.420000,-0.160000,0.270000
12:01:20:837,-0.150000,0.020000,9.610000,0.390000,-0.140000,0.150000
12:01:20:857,-0.160000,-0.000000,9.580000,0.540000,-0.070000,0.190000
12:01:20:877,-0.150000,-0.010000,9.580000,0.470000,-0.120000,0.080000
12:01:20:897,-0.160000,-0.000000,9.600000,0.280000,-0.200000,0.200000
12:01:20:917,-0.180000,-0.000000,9.620000,0.410000,-0.220000,0.210000
12:01:20:937,-0.180000,-0.000000,9.580000,0.540000,-0.130000,0.180000
12:01:20:957,-0.170000,-0.000000,9.600000,0.410000,-0.200000,0.120000
12:01:20:977,-0.170000,-0.000000,9.580000,0.460000,-0.140000,0.040000
12:01:20:997,-0.160000,-0.000000,9.600000,0.500000,-0.200000,0.180000
12:01:21:018,-0.160000,-0.000000,9.580000,0.400000,-0.170000,0.370000
12:01:21:038,-0.180000,0.020000,9.610000,0.320000,-0.120000,0.060000
12:01:21:057,-0.180000,-0.020000,9.540000,0.510000,-0.270000,0.340000
12:01:21:077,-0.150000,0.020000,9.670000,0.350000,-0.190000,-0.040000
12:01:21:097,-0.160000,-0.000000,9.580000,0.600000,-0.250000,0.090000
12:01:21:117,-0.180000,-0.010000,9.580000,0.440000,-0.200000,0.120000
12:01:21:137,-0.180000,-0.000000,9.660000,0.200000,-0.210000,0.210000
12:01:21:157,-0.140000,-0.030000,9.600000,0.520000,-0.200000,0.230000
12:01:21:178,-0.170000,-0.000000,9.570000,0.450000,-0.280000,0.370000
12:01:21:198,-0.170000,0.020000,9.640000,0.260000,-0.080000,0.160000
12:01:21:218,-0.160000,-0.010000,9.630000,0.480000,-0.240000,0.130000
12:01:21:238,-0.140000,-0.000000,9.540000,0.280000,-0.220000,0.220000
12:01:21:258,-0.170000,0.010000,9.650000,0.280000,-0.150000,0.200000
12:01:21:278,-0.130000,-0.000000,9.620000,0.460000,-0.140000,0.220000
12:01:21:298,-0.190000,-0.000000,9.550000,0.470000,-0.220000,0.120000
12:01:21:318,-0.190000,-0.020000,9.600000,0.250000,-0.100000,0.130000
12:01:21:338,-0.160000,-0.000000,9.620000,0.360000,-0.080000,0.010000
12:01:21:358,-0.170000,-0.000000,9.540000,0.390000,-0.270000,0.300000
12:01:21:378,-0.170000,-0.000000,9.570000,0.360000,-0.120000,0.170000
12:01:21:398,-0.160000,-0.000000,9.610000,0.370000,-0.240000,0.270000
12:01:21:418,-0.190000,-0.000000,9.550000,0.500000,-0.180000,0.250000
12:01:21:438,-0.180000,-0.000000,9.610000,0.420000,-0.050000,0.200000
12:01:21:458,-0.190000,-0.010000,9.630000,0.280000,-0.230000,0.240000
12:01:21:478,-0.180000,-0.000000,9.560000,0.460000,-0.200000,0.260000
12:01:21:498,-0.150000,-0.010000,9.600000,0.400000,-0.160000,0.160000
12:01:21:518,-0.130000,-0.000000,9.610000,0.340000,-0.140000,0.120000
12:01:21:538,-0.190000,-0.010000,9.590000,0.430000,-0.230000,0.090000
12:01:21:558,-0.140000,-0.000000,9.570000,0.330000,-0.200000,0.240000
12:01:21:578,-0.180000,-0.000000,9.630000,0.270000,-0.160000,0.190000
12:01:21:598,-0.150000,-0.000000,9.580000,0.430000,-0.140000,0.170000
12:01:21:618,-0.160000,-0.000000,9.590000,0.360000,-0.190000,0.090000
12:01:21:638,-0.150000,-0.000000,9.610000,0.370000,-0.110000,0.210000
12:01:21:658,-0.160000,-0.010000,9.620000,0.370000,-0.190000,0.270000
12:01:21:678,-0.170000,-0.000000,9.580000,0.370000,-0.200000,0.190000
12:01:21:698,-0.160000,-0.000000,9.600000,0.360000,-0.140000,0.160000
12:01:21:718,-0.180000,-0.000000,9.620000,0.370000,-0.170000,0.230000
12:01:21:738,-0.160000,-0.000000,9.590000,0.400000,-0.110000,0.180000
12:01:21:758,-0.130000,-0.000000,9.640000,0.300000,-0.200000,0.240000
12:01:21:778,-0.150000,-0.000000,9.580000,0.360000,-0.270000,0.260000
12:01:21:798,-0.160000,-0.000000,9.570000,0.360000,-0.170000,0.080000
12:01:21:818,-0.180000,-0.000000,9.610000,0.300000,-0.160000,0.060000
12:01:21:838,-0.180000,-0.000000,9.600000,0.380000,-0.210000,0.030000
12:01:21:858,-0.150000,-0.000000,9.590000,0.440000,-0.260000,0.110000
12:01:21:878,-0.190000,-0.000000,9.610000,0.390000,-0.350000,-0.040000
12:01:21:898,-0.110000,-0.010000,9.580000,0.640000,-0.470000,-0.450000
12:01:21:918,-0.160000,-0.000000,9.610000,0.440000,-0.500000,-0.290000
12:01:21:938,-0.180000,-0.000000,9.640000,0.480000,-0.360000,-0.290000
12:01:21:958,-0.180000,-0.000000,9.640000,0.440000,-0.470000,0.040000
12:01:21:978,-0.160000,-0.020000,9.590000,0.440000,-0.220000,-0.130000
12:01:21:998,-0.130000,-0.000000,9.640000,0.320000,-0.230000,-0.180000
12:01:22:018,-0.170000,-0.000000,9.590000,0.460000,-0.280000,0.060000
12:01:22:038,-0.170000,-0.000000,9.610000,0.400000,-0.270000,0.120000
12:01:22:058,-0.170000,-0.000000,9.610000,0.360000,-0.180000,0.290000
12:01:22:078,-0.150000,-0.000000,9.630000,0.360000,-0.140000,0.270000
12:01:22:098,-0.130000,-0.010000,9.620000,0.450000,-0.150000,0.120000
12:01:22:118,-0.180000,-0.000000,9.620000,0.320000,-0.220000,0.490000
12:01:22:138,-0.170000,-0.000000,9.610000,0.400000,-0.220000,0.080000
12:01:22:158,-0.140000,-0.000000,9.620000,0.360000,-0.160000,0.070000
12:01:22:178,-0.170000,-0.000000,9.640000,0.330000,-0.280000,0.270000
12:01:22:198,-0.170000,-0.000000,9.640000,0.400000,-0.130000,0.370000
12:01:22:218,-0.170000,-0.000000,9.620000,0.450000,-0.130000,0.290000
12:01:22:238,-0.190000,-0.000000,9.620000,0.300000,-0.160000,0.280000
12:01:22:258,-0.150000,-0.000000,9.580000,0.410000,-0.150000,0.160000
12:01:22:278,-0.140000,-0.000000,9.640000,0.310000,-0.130000,0.180000
12:01:22:298,-0.170000,-0.020000,9.600000,0.420000,-0.260000,0.240000
12:01:22:318,-0.170000,-0.000000,9.620000,0.260000,-0.100000,0.330000
12:01:22:338,-0.160000,-0.010000,9.640000,0.350000,-0.110000,0.270000
12:01:22:358,-0.150000,-0.000000,9.600000,0.380000,-0.160000,0.160000
12:01:22:378,-0.170000,-0.000000,9.590000,0.290000,-0.230000,0.200000
12:01:22:398,-0.140000,-0.010000,9.620000,0.360000,-0.210000,0.130000
12:01:22:418,-0.160000,-0.010000,9.590000,0.360000,-0.160000,0.160000
12:01:22:438,-0.150000,-0.000000,9.600000,0.340000,-0.270000,0.170000
12:01:22:458,-0.150000,-0.000000,9.630000,0.280000,-0.280000,0.040000
12:01:22:478,-0.150000,-0.000000,9.610000,0.410000,-0.170000,0.160000
12:01:22:498,-0.150000,-0.000000,9.620000,0.300000,-0.170000,0.180000
12:01:22:518,-0.190000,-0.000000,9.640000,0.320000,-0.180000,0.120000
12:01:22:538,-0.140000,-0.000000,9.610000,0.370000,-0.110000,0.230000
12:01:22:558,-0.180000,-0.000000,9.600000,0.350000,-0.130000,0.190000
12:01:22:578,-0.190000,-0.000000,9.640000,0.140000,-0.190000,0.240000
12:01:22:598,-0.160000,-0.010000,9.580000,0.370000,-0.200000,0.260000
12:01:22:618,-0.160000,-0.000000,9.570000,0.390000,-0.150000,0.500000
12:01:22:638,-0.160000,-0.000000,9.620000,0.280000,-0.130000,0.180000
12:01:22:658,-0.170000,0.010000,9.600000,0.320000,-0.030000,0.200000
12:01:22:678,-0.160000,-0.000000,9.590000,0.430000,-0.100000,0.260000
12:01:22:698,-0.130000,-0.000000,9.620000,0.370000,-0.060000,0.220000
12:01:22:718,-0.190000,-0.000000,9.590000,0.340000,-0.060000,0.220000
12:01:22:738,-0.180000,-0.000000,9.570000,0.360000,-0.040000,0.270000
12:01:22:758,-0.160000,-0.000000,9.620000,0.330000,-0.040000,0.250000
12:01:22:778,-0.190000,-0.000000,9.610000,0.320000,-0.120000,0.290000
12:01:22:798,-0.150000,-0.010000,9.580000,0.520000,-0.200000,0.160000
12:01:22:818,-0.160000,-0.000000,9.600000,0.390000,-0.200000,0.210000
12:01:22:838,-0.190000,-0.000000,9.620000,0.330000,-0.240000,0.320000
12:01:22:858,-0.150000,-0.000000,9.580000,0.420000,-0.180000,0.130000
12:01:22:878,-0.160000,-0.000000,9.590000,0.410000,-0.070000,0.160000
12:01:22:898,-0.150000,-0.000000,9.590000,0.300000,-0.210000,0.230000
12:01:22:918,-0.180000,0.010000,9.640000,0.170000,-0.160000,0.270000
12:01:22:938,-0.190000,-0.000000,9.610000,0.370000,-0.170000,0.140000
12:01:22:958,-0.170000,-0.000000,9.560000,0.520000,-0.250000,0.200000
12:01:22:978,-0.160000,-0.000000,9.630000,0.120000,-0.070000,0.170000
12:01:22:998,-0.170000,-0.000000,9.600000,0.310000,-0.030000,0.260000
12:01:23:018,-0.190000,-0.020000,9.570000,0.400000,-0.060000,0.160000
