Time,Ax,Ay,Az,Gx,Gy,Gz
12:01:20:681,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:01:20:697,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:01:20:717,-0.002500,0.002500,1.088750,-0.000625,0.004375,0.000625
12:01:20:737,0.002500,-0.000000,2.655000,0.005000,0.007500,0.000000
12:01:20:757,-0.005000,0.000000,4.660000,0.002500,0.002500,0.015000
12:01:20:777,0.002500,-0.002500,7.075000,0.005000,0.005000,0.022500
12:01:20:797,-0.002500,0.002500,9.765000,0.007500,-0.007500,0.037500
12:01:20:817,0.000000,-0.005000,12.635000,0.007500,-0.007500,0.050000
12:01:20:837,-0.002500,-0.000000,15.582500,0.020000,-0.012500,0.070000
12:01:20:857,0.000000,0.000000,18.507500,0.022500,-0.017500,0.090000
12:01:20:877,0.002500,-0.005000,21.365000,0.042500,-0.010000,0.110000
12:01:20:897,0.002500,0.002500,24.055000,0.055000,0.000000,0.115000
12:01:20:917,0.000000,-0.002500,26.560000,0.072500,0.012500,0.125000
12:01:20:937,0.007500,0.002500,28.802500,0.085000,0.030000,0.122500
12:01:20:957,0.005000,-0.002500,30.780000,0.097500,0.037500,0.125000
12:01:20:977,0.002500,0.002500,32.437500,0.107500,0.047500,0.122500
12:01:20:997,0.005000,0.000000,33.775000,0.127500,0.060000,0.110000
12:01:21:018,-0.003061,0.002494,19.276077,0.097052,0.051927,0.035714
12:01:21:038,-0.001786,0.002381,49.937619,0.195595,0.082976,0.142500
12:01:21:057,-0.002078,0.005540,58.437119,0.235873,0.104848,0.146399
12:01:21:077,-0.005526,0.002237,15.869737,0.113421,0.065395,-0.004079
12:01:21:097,-0.007500,0.005000,35.297500,0.180000,0.082500,0.052500
12:01:21:117,-0.010000,0.010000,34.600000,0.180000,0.082500,0.037500
12:01:21:137,-0.010000,0.007500,33.600000,0.187500,0.070000,0.017500
12:01:21:157,-0.012500,0.007500,32.315000,0.187500,0.062500,-0.012500
12:01:21:178,-0.012018,0.007370,3.073129,0.075737,0.008844,-0.091723
12:01:21:198,-0.017381,0.009762,56.525714,0.280476,0.073214,0.028810
12:01:21:218,-0.015000,0.005000,26.972500,0.162500,0.020000,-0.040000
12:01:21:238,-0.015000,0.005000,24.775000,0.150000,0.005000,-0.040000
12:01:21:258,-0.012500,0.005000,22.410000,0.122500,-0.002500,-0.040000
12:01:21:278,-0.012500,0.002500,19.905000,0.097500,-0.017500,-0.040000
12:01:21:298,-0.010000,0.005000,17.287500,0.067500,-0.025000,-0.035000
12:01:21:318,-0.005000,0.002500,14.580000,0.032500,-0.027500,-0.035000
12:01:21:338,-0.007500,0.005000,11.802500,0.007500,-0.035000,-0.037500
12:01:21:358,-0.000000,0.000000,8.995000,-0.030000,-0.025000,-0.040000
12:01:21:378,-0.005000,0.002500,6.167500,-0.057500,-0.025000,-0.055000
12:01:21:398,-0.005000,-0.000000,3.345000,-0.095000,-0.017500,-0.062500
12:01:21:418,-0.002500,-0.002500,0.547500,-0.122500,-0.015000,-0.067500
12:01:21:438,-0.002500,-0.000000,-2.192500,-0.147500,-0.007500,-0.060000
12:01:21:458,-0.010000,-0.005000,-4.875000,-0.167500,-0.007500,-0.055000
12:01:21:478,-0.007500,-0.000000,-7.470000,-0.182500,0.002500,-0.042500
12:01:21:498,-0.012500,-0.007500,-9.957500,-0.197500,0.005000,-0.032500
12:01:21:518,-0.015000,-0.002500,-12.340000,-0.207500,0.010000,-0.017500
12:01:21:538,-0.020000,-0.005000,-14.585000,-0.215000,0.015000,-0.002500
12:01:21:558,-0.015000,-0.010000,-16.707500,-0.225000,0.017500,-0.002500
12:01:21:578,-0.015000,-0.007500,-18.670000,-0.227500,0.020000,-0.002500
12:01:21:598,-0.015000,-0.010000,-20.490000,-0.237500,0.015000,0.000000
12:01:21:618,-0.012500,-0.010000,-22.145000,-0.242500,0.017500,-0.002500
12:01:21:638,-0.010000,-0.010000,-23.640000,-0.255000,0.017500,-0.007500
12:01:21:658,-0.005000,-0.010000,-24.965000,-0.257500,0.020000,-0.012500
12:01:21:678,-0.002500,-0.012500,-26.127500,-0.257500,0.020000,-0.017500
12:01:21:698,0.002500,-0.010000,-27.117500,-0.262500,0.022500,-0.015000
12:01:21:718,0.007500,-0.010000,-27.942500,-0.262500,0.027500,-0.017500
12:01:21:738,0.007500,-0.010000,-28.602500,-0.255000,0.025000,-0.015000
12:01:21:758,0.012500,-0.010000,-29.097500,-0.255000,0.027500,-0.015000
12:01:21:778,0.015000,-0.010000,-29.440000,-0.247500,0.030000,-0.010000
12:01:21:798,0.017500,-0.007500,-29.625000,-0.242500,0.030000,-0.005000
12:01:21:818,0.025000,-0.005000,-29.665000,-0.237500,0.027500,0.000000
12:01:21:838,0.025000,-0.007500,-29.572500,-0.230000,0.017500,-0.002500
12:01:21:858,0.032500,-0.002500,-29.335000,-0.230000,0.012500,-0.012500
12:01:21:878,0.027500,-0.005000,-28.980000,-0.217500,0.000000,-0.035000
12:01:21:898,0.035000,0.000000,-28.510000,-0.205000,-0.017500,-0.067500
12:01:21:918,0.027500,-0.000000,-27.920000,-0.180000,-0.050000,-0.117500
12:01:21:938,0.035000,0.000000,-27.240000,-0.142500,-0.095000,-0.202500
12:01:21:958,0.035000,-0.000000,-26.460000,-0.100000,-0.160000,-0.300000
12:01:21:978,0.035000,0.000000,-25.592500,-0.055000,-0.227500,-0.420000
12:01:21:998,0.032500,0.005000,-24.655000,-0.005000,-0.300000,-0.530000
12:01:22:018,0.032500,0.000000,-23.647500,0.035000,-0.362500,-0.637500
12:01:22:038,0.035000,0.000000,-22.580000,0.080000,-0.412500,-0.737500
12:01:22:058,0.030000,-0.000000,-21.467500,0.107500,-0.457500,-0.810000
