Time,Ax,Ay,Az,Gx,Gy,Gz
16:09:08:824,-0.10,0.00,10.02,-0.28,0.10,-0.46
16:09:08:844,-0.04,0.00,10.08,-0.14,-0.19,-0.37
16:09:08:864,-0.06,0.00,10.07,-0.17,0.02,-0.38
16:09:08:884,-0.06,0.00,10.01,-0.20,-0.20,-0.32
16:09:08:904,-0.07,0.00,10.06,-0.23,0.07,-0.45
16:09:08:924,-0.03,0.00,10.04,-0.09,0.00,-0.33
16:09:08:944,-0.05,0.00,10.07,-0.24,-0.16,-0.42
16:09:08:964,-0.08,0.00,10.05,-0.28,-0.22,-0.29
16:09:08:984,-0.07,0.00,10.07,-0.26,-0.12,-0.39
16:09:09:004,-0.04,0.01,10.07,-0.23,-0.16,-0.39
16:09:09:024,-0.05,0.00,10.01,-0.23,-0.29,-0.39
16:09:09:044,-0.06,0.00,10.02,-0.19,-0.06,-0.35
16:09:09:064,-0.05,-0.03,10.03,-0.17,-0.12,-0.31
16:09:09:084,-0.09,-0.03,10.11,-0.29,0.05,-0.42
16:09:09:104,-0.04,0.00,10.03,-0.17,-0.24,-0.32
16:09:09:124,-0.09,0.00,10.08,-0.23,0.05,-0.34
16:09:09:144,-0.06,0.00,9.99,-0.22,-0.27,-0.29
16:09:09:164,-0.10,0.01,10.06,-0.27,0.13,-0.44
16:09:09:184,-0.04,-0.02,10.07,-0.20,-0.25,-0.34
16:09:09:204,-0.09,0.01,10.05,-0.34,-0.08,-0.39
16:09:09:224,-0.07,0.00,10.07,-0.20,-0.12,-0.37
16:09:09:244,-0.03,0.00,10.05,-0.18,-0.14,-0.38
16:09:09:264,-0.08,0.01,10.08,-0.25,-0.06,-0.40
16:09:09:284,-0.05,0.00,10.02,-0.22,-0.27,-0.40
16:09:09:304,-0.08,0.00,10.03,-0.23,-0.04,-0.39
16:09:09:324,-0.06,0.00,10.04,-0.24,-0.18,-0.37
16:09:09:344,-0.07,0.00,10.05,-0.21,-0.03,-0.42
16:09:09:364,-0.03,0.00,10.03,-0.09,-0.13,-0.39
16:09:09:384,-0.08,0.00,10.05,-0.26,-0.16,-0.34
16:09:09:404,-0.07,0.00,10.02,-0.20,-0.12,-0.40
16:09:09:424,-0.09,-0.02,10.07,-0.17,-0.08,-0.40
16:09:09:444,-0.06,0.01,10.05,-0.17,-0.18,-0.37
16:09:09:464,-0.06,0.00,10.02,-0.20,-0.10,-0.36
16:09:09:484,-0.05,0.00,10.06,-0.23,-0.06,-0.29
16:09:09:504,-0.07,0.00,10.03,-0.21,-0.28,-0.42
16:09:09:524,-0.06,0.00,10.01,-0.16,-0.16,-0.38
16:09:09:544,-0.07,-0.03,10.06,-0.28,-0.03,-0.36
16:09:09:564,-0.08,0.00,10.05,-0.21,-0.23,-0.30
16:09:09:584,-0.07,0.00,10.05,-0.26,0.02,-0.37
16:09:09:604,-0.09,0.00,10.05,-0.21,-0.12,-0.39
16:09:09:624,-0.10,0.00,10.04,-0.16,-0.17,-0.32
16:09:09:644,-0.05,0.00,10.10,-0.21,-0.13,-0.37
16:09:09:664,-0.09,0.00,10.06,-0.30,-0.05,-0.45
16:09:09:684,-0.07,0.00,10.01,-0.31,-0.34,-0.39
16:09:09:704,-0.06,0.00,10.06,-0.22,-0.18,-0.35
16:09:09:724,-0.08,0.00,10.06,-0.26,-0.26,-0.40
16:09:09:744,-0.06,0.00,10.05,-0.18,-0.03,-0.42
16:09:09:764,-0.07,0.00,10.03,-0.28,-0.11,-0.31
16:09:09:784,-0.08,0.00,10.07,-0.23,-0.20,-0.32
16:09:09:804,-0.07,0.00,10.00,-0.25,-0.06,-0.38
16:09:09:824,-0.10,0.00,10.04,-0.26,-0.10,-0.33
16:09:09:844,-0.04,0.00,10.05,-0.21,-0.21,-0.39
16:09:09:864,-0.06,0.00,10.07,-0.21,-0.14,-0.37
16:09:09:884,-0.06,0.00,10.03,-0.13,-0.06,-0.34
16:09:09:904,-0.10,0.00,10.03,-0.27,-0.17,-0.34
16:09:09:924,-0.07,0.01,10.00,-0.19,-0.35,-0.34
16:09:09:944,-0.09,0.01,9.84,-0.17,-0.19,-0.38
16:09:09:964,-0.02,0.00,10.52,-0.31,-0.21,-0.42
16:09:09:984,0.11,-0.14,9.74,-0.08,-0.07,-0.44
16:09:10:004,-0.06,0.05,10.15,-0.24,-0.14,-0.44
16:09:10:024,0.03,-0.03,9.80,-0.17,0.08,-0.34
16:09:10:044,-0.15,0.00,10.06,-0.29,-0.20,-0.36
16:09:10:064,0.01,-0.03,9.99,-0.09,-0.23,-0.31
16:09:10:084,-0.00,0.00,10.02,-0.20,-0.12,-0.40
16:09:10:104,-0.06,0.00,10.09,-0.32,0.13,-0.44
16:09:10:124,-0.01,0.00,9.97,-0.12,-0.29,-0.33
16:09:10:144,-0.16,0.00,10.04,-0.20,0.25,-0.47
16:09:10:164,-0.05,0.00,10.06,-0.21,-0.55,-0.35
16:09:10:184,-0.07,0.00,10.17,-0.34,-0.03,-0.38
16:09:10:204,-0.03,-0.02,9.99,-0.16,-0.39,-0.33
16:09:10:224,-0.11,0.01,10.05,-0.32,0.04,-0.34
16:09:10:244,-0.05,0.02,10.01,-0.28,-0.32,-0.37
16:09:10:264,-0.05,0.02,10.07,-0.12,-0.09,-0.39
16:09:10:284,-0.03,-0.01,10.07,-0.17,-0.10,-0.37
16:09:10:304,-0.06,-0.01,10.09,-0.18,0.10,-0.43
16:09:10:324,-0.08,-0.02,9.99,-0.30,-0.05,-0.28
16:09:10:344,-0.08,0.00,10.03,-0.26,-0.32,-0.40
16:09:10:364,-0.05,0.00,10.04,-0.24,-0.06,-0.37
16:09:10:384,-0.04,0.00,10.06,-0.30,-0.24,-0.35
16:09:10:404,-0.04,0.00,10.05,-0.25,-0.16,-0.31
16:09:10:424,-0.08,0.00,10.04,-0.17,-0.23,-0.39
16:09:10:444,-0.06,0.00,10.05,-0.26,-0.25,-0.29
16:09:10:464,-0.06,0.00,10.01,-0.13,-0.08,-0.37
16:09:10:484,-0.06,0.00,10.09,-0.34,-0.09,-0.32
